part_number,current_draw_mA,S11_dB,S21_dB,S12_dB,S22_dB,timestamp
LNA00367P2,79.0,-13.552,34.647,-47.093,-11.174,2026-07-14T15:41:05
LNA00373P1,83.0,-13.403,34.607,-43.288,-10.679,2026-07-14T15:41:47
LNA00358P2,82.0,-14.081,34.602,-43.636,-10.439,2026-07-14T15:42:28
LNA00235P2,85.0,-13.699,34.794,-56.111,-11.943,2026-07-14T15:43:58
LNA00367P1,84.0,-13.061,34.598,-49.573,-12.065,2026-07-14T15:45:10
LNA00378P1,85.0,-13.941,34.697,-49.588,-11.605,2026-07-14T15:45:51
LNA00356P1,85.0,-13.497,34.676,-45.619,-11.902,2026-07-14T15:46:36
LNA00376P1,84.0,-13.154,34.685,-51.576,-12.217,2026-07-14T15:47:23
LNA00374P1,84.0,-12.981,34.621,-46.498,-11.88,2026-07-14T15:48:07
LNA00375P1,83.0,-13.276,34.579,-45.514,-11.968,2026-07-14T15:48:40
LNA00373P2,83.0,-13.873,34.745,-52.908,-11.742,2026-07-14T15:49:12
LNA00368P1,80.0,-13.097,34.521,-45.46,-11.595,2026-07-14T15:49:51
LNA00377P1,83.0,-13.716,34.829,-46.468,-11.734,2026-07-14T15:50:32
LNA00354P2,82.0,-13.577,34.66,-48.112,-11.363,2026-07-14T15:51:02
LNA00359P2,83.0,-13.966,34.722,-48.702,-11.701,2026-07-14T15:51:51
LNA00369P1,83.0,-12.872,34.429,-50.291,-11.189,2026-07-14T15:52:29
LNA00370P1,82.0,-13.274,34.507,-49.355,-11.409,2026-07-14T15:53:22
LNA00368P2,84.0,-12.93,34.463,-50.253,-11.494,2026-07-14T15:54:04
LNA00371P1,83.0,-13.544,34.583,-53.181,-11.348,2026-07-14T15:54:43
LNA00372P1,86.0,-14.08,34.894,-46.071,-11.977,2026-07-14T15:55:18
LNA00372P2,86.0,-13.804,34.895,-45.706,-10.668,2026-07-14T15:56:00
LNA00369P2,83.0,-13.758,34.804,-41.618,-10.98,2026-07-14T15:56:33
LNA00360P2,85.0,-13.585,34.724,-50.723,-11.446,2026-07-14T15:57:03
LNA00370P2,87.0,-14.45,34.921,-45.404,-11.286,2026-07-14T15:57:34
LNA00375P2,81.0,-13.027,34.636,-48.658,-12.013,2026-07-14T15:58:15
LNA00376P2,81.0,-13.569,34.661,-54.373,-12.39,2026-07-14T15:59:25
LNA00371P2,83.0,-12.129,34.453,-49.729,-11.765,2026-07-14T16:00:18
LNA00377P2,82.0,-13.789,34.723,-47.997,-11.139,2026-07-14T16:01:04
LNA00378P2,83.0,-12.951,34.497,-54.289,-11.869,2026-07-14T16:01:46
LNA00498P2,83.0,-13.187,34.671,-51.609,-11.73,2026-07-14T16:30:45
LNA00498P1,82.0,-13.116,34.648,-51.139,-12.521,2026-07-14T16:32:02
LNA00401P1,84.0,-12.961,34.643,-45.764,-11.155,2026-07-14T17:06:27
LNA00402P1,84.0,-13.462,34.763,-50.32,-11.781,2026-07-14T17:07:02
LNA00401P2,83.0,-13.034,34.714,-46.935,-11.061,2026-07-14T17:07:53
LNA00402P2,84.0,-12.969,34.778,-46.599,-11.004,2026-07-14T17:08:17
LNA00403P1,84.0,-13.711,34.778,-58.212,-11.785,2026-07-14T17:12:35
LNA00404P1,85.0,-12.634,34.533,-47.332,-11.497,2026-07-14T17:13:20
LNA00405P1,84.0,-13.455,34.738,-59.066,-11.882,2026-07-14T17:14:03
LNA00493P2,82.0,-12.912,34.722,-45.852,-12.034,2026-07-14T17:15:25
LNA00404P2,83.0,-12.985,34.609,-53.842,-11.108,2026-07-14T17:16:51
LNA00405P2,84.0,-13.297,34.711,-50.293,-12.301,2026-07-14T17:18:04
LNA00496P2,84.0,-13.367,34.648,-45.379,-11.644,2026-07-14T17:18:41
LNA00406P2,81.0,-15.296,34.538,-45.024,-10.69,2026-07-14T17:20:59
LNA00497P1,0.0,-3.092,-29.503,-30.116,0.111,2026-07-14T17:21:49
LNA00496P1,81.0,-13.311,34.693,-48.165,-11.414,2026-07-14T17:22:30
LNA00497P2,81.0,-12.211,34.381,-46.5,-11.318,2026-07-14T17:23:10
LNA00495P2,83.0,-13.508,34.83,-48.935,-11.422,2026-07-14T17:23:45
LNA00491P2,82.0,-12.767,34.574,-49.532,-12.443,2026-07-14T17:24:29
LNA00492P2,80.0,-12.794,34.475,-50.633,-11.433,2026-07-14T17:25:34
LNA00495P1,85.0,-14.554,34.601,-44.302,-12.106,2026-07-14T17:26:06
LNA00494P1,81.0,-12.655,34.659,-45.172,-12.14,2026-07-14T17:27:16
LNA00493P1,83.0,-13.107,34.719,-59.363,-10.988,2026-07-14T17:27:56
LNA00492P1,84.0,-13.142,34.639,-60.059,-12.199,2026-07-14T17:28:32
LNA00483P2,82.0,-12.937,34.564,-47.162,-11.466,2026-07-14T17:29:07
LNA00487P2,81.0,-12.951,34.633,-46.142,-11.554,2026-07-14T17:29:38
LNA00488P2,81.0,-13.351,34.753,-43.679,-10.83,2026-07-14T17:31:41
LNA00489P2,84.0,-13.382,34.66,-43.832,-10.829,2026-07-14T17:32:15
LNA00490P2,82.0,-13.376,34.794,-51.223,-11.861,2026-07-14T17:33:04
LNA00494P2,81.0,-12.672,34.592,-45.145,-11.723,2026-07-14T17:34:35
LNA00480P2,81.0,-12.825,34.6,-43.201,-11.76,2026-07-14T17:35:21
LNA00481P2,83.0,-13.468,34.662,-44.692,-11.625,2026-07-14T17:35:59
LNA00482P2,83.0,-13.655,34.823,-47.763,-11.605,2026-07-14T17:36:41
LNA00484P2,82.0,-13.302,34.572,-49.88,-12.099,2026-07-14T17:37:19
LNA00486P2,82.0,-12.657,34.498,-49.019,-11.716,2026-07-14T17:38:02
LNA00485P2,81.0,-13.032,34.673,-46.301,-12.389,2026-07-14T17:38:37
LNA00475P2,85.0,-14.002,34.915,-47.756,-11.586,2026-07-14T17:39:21
LNA00476P2,81.0,-12.504,34.521,-49.608,-12.183,2026-07-14T17:39:58
LNA00477P2,85.0,-14.124,34.91,-43.918,-11.386,2026-07-14T17:40:35
LNA00478P2,85.0,-13.551,34.753,-48.524,-11.593,2026-07-14T17:41:30
LNA00479P2,84.0,-12.965,34.552,-45.108,-10.484,2026-07-14T17:42:04
LNA00406P1,80.0,-12.628,34.516,-44.433,-11.623,2026-07-14T17:42:58
LNA00491P1,84.0,-13.678,34.63,-44.338,-11.222,2026-07-14T17:43:47
LNA00490P1,84.0,-13.614,34.605,-59.732,-11.563,2026-07-14T17:44:50
LNA00489P1,80.0,-12.498,34.469,-51.665,-11.429,2026-07-14T17:45:25
LNA00488P1,85.0,-13.112,34.687,-47.932,-11.835,2026-07-14T17:46:37
LNA00487P1,83.0,-13.438,34.613,-53.001,-11.412,2026-07-14T17:47:12
LNA00486P1,88.0,-14.121,34.942,-70.616,-11.807,2026-07-14T17:47:53
